id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
6439,2008,100,XI Arvalia/Portuense,Private room in rental unit,Private room,1,1,1,30,15,180,2,5,5,5
8600,2016,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,2,1,1,120,20,1124,2,5,5,4.5
10610,2017,0,XII Monte Verde,Entire rental unit,Entire home/apt,4,1,1,200,20,1125,2,5,5,5
15138,2015,0,V Prenestino/Centocelle,Entire rental unit,Entire home/apt,2,1,1,40,25,25,2,4,3,5
7223,2016,100,VIII Appia Antica,Entire rental unit,Entire home/apt,5,2,3,49,25,1125,2,4.5,3.5,4.5
12787,2009,100,V Prenestino/Centocelle,Entire rental unit,Entire home/apt,2,1,1,53,30,365,2,5,5,4.5
21401,2016,100,I Centro Storico,Entire rental unit,Entire home/apt,3,1,1,27,30,1125,2,5,4.5,5
8175,2016,0,I Centro Storico,Private room in rental unit,Private room,2,1,1,288,30,365,2,4.5,5,5
10254,2013,94,V Prenestino/Centocelle,Private room in rental unit,Private room,1,1,1,25,30,1125,2,4.5,4,4
14593,2015,33,VIII Appia Antica,Private room in rental unit,Private room,1,1,1,30,30,1125,2,5,5,5
19604,2014,100,I Centro Storico,Private room in rental unit,Private room,1,1,1,18,30,365,2,5,5,5
20881,2012,100,II Parioli/Nomentano,Private room in rental unit,Private room,1,1,1,15,30,1125,2,5,4.5,4.5
15255,2018,100,VI Roma delle Torri,Private room in villa,Private room,3,3,3,13,30,365,2,5,5,4.5
11410,2015,100,I Centro Storico,Private room in bed and breakfast,Private room,12,5,4,500,30,1125,2,5,5,5
10831,2015,90,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,115,1,60,3,3.33,4.33,4
11161,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,103,1,1125,3,5,5,5
11560,2013,90,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,2,139,1,100,3,4.67,4.67,5
15799,2014,30,XIII Aurelia,Entire condominium (condo),Entire home/apt,3,1,1,80,1,1125,3,3.67,3.67,4.33
19727,2020,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,90,1,1125,3,4.67,5,4.67
21186,2018,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,100,1,28,3,5,5,5
21325,2018,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,120,1,30,3,4.33,4,5
21383,2016,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,2,1,1,60,1,1125,3,5,4,4.67
21656,2021,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,1,93,1,365,3,5,5,5
21659,2021,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,113,1,365,3,4.67,4.67,4.33
21661,2021,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,1,93,1,365,3,4.67,5,4.33
21767,2018,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,8,1,2,45,1,365,3,4.67,5,5
22574,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,133,1,30,3,5,5,5
22585,2019,100,VII San Giovanni/Cinecitta,Entire condominium (condo),Entire home/apt,3,1,1,84,1,15,3,5,5,5
23017,2021,100,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,3,1,1,50,1,30,3,5,5,4.33
23074,2013,90,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,52,1,30,3,4,4.33,3.67
23119,2020,100,II Parioli/Nomentano,Entire condominium (condo),Entire home/apt,4,1,1,85,1,365,3,5,5,5
23177,2013,90,I Centro Storico,Entire condominium (condo),Entire home/apt,11,1,2,179,1,1125,3,4,5,4.67
23269,2018,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,175,1,1125,3,3.67,4.67,5
23328,2017,82,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,80,1,1125,3,3.33,2.67,4.33
23449,2021,100,II Parioli/Nomentano,Entire condominium (condo),Entire home/apt,3,1,1,45,1,1125,3,3.67,3.33,4.67
